original_ADDRESS,original_STREET NUMBER FROM,original_STREET NUMBER TO,original_DIRECTION,original_STREET NAME,original_STREET TYPE,original_TANK TYPE,original_FACILITY ID,original_OWNER,original_FACILITY NAME,original_Tank ID,original_TANK MATERIAL,original_TANK CONSTRUCTION,original_TANK PRODUCT,original_TANK CAPACITY,original_INSTALLATION DATE,original_REMOVAL DATE,original_LAST USED DATE,original_COMMENT,original_DATA SOURCE,original_LATITUDE,original_LONGITUDE,original_LOCATION,distance,formatted,lat,lon,name,housenumber,street,postcode,district,suburb,city,county_code,county,state,state_code,country,country_code,attribution,attribution_license,attribution_url
2294 N MILWAUKEE AVE,2294,2294,N,MILWAUKEE,AVE,UNDERGROUND STORAGE TANK,2294MIL1968-03-06,,GUS TZETOUS,,,,,,03/06/1968,,,"WORK BY: KEZ CONSTRUCTION; INSPECT 4-4K GAS, REMOVE 2-2K, 1-1K",HISTORIC DEPT. OF BUILDINGS,41.92259746567477,-87.69709762910134,POINT (-87.69709762910134 41.92259746567477),5.520704588529034,"California Ave & Milwaukee Ave, North Milwaukee Avenue, Chicago, IL 60647, United States of America",41.922647,-87.6970931,California Ave & Milwaukee Ave,,North Milwaukee Avenue,60647,Palmer Square,Logan Square,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1514 S CANAL ST,1514,1514,S,CANAL,ST,UNDERGROUND STORAGE TANK,20185611952-06-27,,CSX TRANSPORTATION,,,,,,06/27/1952,,,WORK BY: J. ELLINGTON; INSTALL 1-1K FUEL OIL FINAL 12/11/52,HISTORIC DEPT. OF BUILDINGS,41.861437260393025,-87.63920519875843,POINT (-87.63920519875843 41.861437260393025),18.981400050363092,"1510 South Canal Street, Chicago, IL 60607, United States of America",41.861506,-87.639415,,1510,South Canal Street,60607,Chicago,South Loop,Chicago,CO,Cook County,Illinois,IL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
2255 N WESTERN AVE,2255,2255,N,WESTERN,AVE,UNDERGROUND STORAGE TANK,2043127,See Environmental Permit Dataset,MIDAMERICA BANK,0001,,,HEATING OI,2000,,,12/31/1973,"2291 N WESTERN, REMOVED 2/8/2006,  Historic data from former Dept. of Environment [ Associated Permit Numbers: 108734     108734; ]",DEPT. OF PUBLIC HEALTH,41.92326612217873,-87.68744657168537,POINT (-87.68744657168537 41.92326612217873),0.7494216822087302,"Western & Belden, West Belden Avenue, Chicago, IL 60647, United States of America",41.9232613,-87.6874529,Western & Belden,,West Belden Avenue,60647,Maplewood,Logan Square,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
11117 S WESTERN AVE,11117,11127,S,WESTERN,AVE,UNDERGROUND STORAGE TANK,11117WE1995-06-05,,,,,,,,06/05/1995,,,WORK BY: N/G; SEE 2348-56 WEST 111TH PL,HISTORIC DEPT. OF BUILDINGS,41.691224204001315,-87.68099402558576,POINT (-87.68099402558576 41.691224204001315),4.332828427316712,"11103-11113 South Western Avenue, Chicago, IL 60643, United States of America",41.6914474,-87.68079578729393,,11103-11113,South Western Avenue,60643,,Morgan Park,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1458 S MICHIGAN AVE,1458,1458,S,MICHIGAN,AVE,UNDERGROUND STORAGE TANK,1458MIC1953-01-21,,DE RAY LAMP COMPANY,,,,,,01/21/1953,,,WORK BY: WATER TUBE BOILER & TANK; INSTALL 1-5K F.O.,HISTORIC DEPT. OF BUILDINGS,41.86246755970361,-87.62418595900007,POINT (-87.62418595900007 41.86246755970361),2.654716471199039,"Sod Room, 1454 South Michigan Avenue, Chicago, IL 60605, United States of America",41.8624851,-87.62432745000001,Sod Room,1454,South Michigan Avenue,60605,South Loop,Near South Side,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2210 W PERSHING RD,2210,2210,W,PERSHING,RD,UNDERGROUND STORAGE TANK,2032295,See Environmental Permit Dataset,MCKINLEY FIELDHOUSE,0002,,,HEATING OI,8000,,,01/01/1973,"NOT FOUND 10/6/00,  Historic data from former Dept. of Environment [ Associated Permit Numbers: 105793     105793; ]",DEPT. OF PUBLIC HEALTH,41.823152544283246,-87.68056214743277,POINT (-87.68056214743277 41.823152544283246),25.945395204503413,"2165-2221 West Pershing Road, Chicago, IL 60632, United States of America",41.822413850000004,-87.68045082025328,,2165-2221,West Pershing Road,60632,,New City,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1140 E 103RD ST,1140,1140,E,103RD,ST,UNDERGROUND STORAGE TANK,11401031953-02-03,,IVAX INDUSTRIES,,,,,,02/03/1953,,,WORK BY: GENERAL TANK; 1-2M SOLVERT,HISTORIC DEPT. OF BUILDINGS,41.70773445772465,-87.59501123789065,POINT (-87.59501123789065 41.70773445772465),75.06678809914573,"1140 East 103rd Street, Chicago, IL 60628, United States of America",41.708312,-87.594543,,1140,East 103rd Street,60628,Chicago,North Pullman,Chicago,CO,Cook County,Illinois,IL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
2247 S COTTAGE GROVE AVE,2247,2247,S,COTTAGE GROVE,AVE,UNDERGROUND STORAGE TANK,2034840,See Environmental Permit Dataset,GENERAL TIRE,0001,,,HEATING OI,2000,,,,"REMOVED 06/02/97,  Historic data from former Dept. of Environment [ Associated Permit Numbers: 103081; ]",DEPT. OF PUBLIC HEALTH,41.851813964846976,-87.62131909724252,POINT (-87.62131909724252 41.851813964846976),0,"McCormick Place Convention Center, 2301 South Doctor Martin Luther King Junior Drive, Chicago, IL 60616, United States of America",41.850048099999995,-87.61594703971302,McCormick Place Convention Center,2301,South Doctor Martin Luther King Junior Drive,60616,,Near South Side,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
10601 S AVENUE O AVE,10601,10601,S,AVENUE O,AVE,UNDERGROUND STORAGE TANK,10601AO1968-11-12,,AMOCO OIL,,,,,,11/12/1968,,,"WORK BY: AETNA TANK & PUMP; INSTALL 2-6K,1-8K GAS,1-1K FUEL OIL,1-550 WASTE OIL F7/22/69",HISTORIC DEPT. OF BUILDINGS,41.702663840307956,-87.53995125351852,POINT (-87.53995125351852 41.702663840307956),32.479512872282264,"3425 East 106th Street, Chicago, IL 60617, United States of America",41.702523,-87.540294,,3425,East 106th Street,60617,Chicago,East Side,Chicago,CO,Cook County,Illinois,IL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
10257 S WESTERN AVE,10257,10257,S,WESTERN,AVE,UNDERGROUND STORAGE TANK,10257WE1988-03-28,,AMCO OIL COMPANY,,,,,,03/28/1988,,,"WORK BY: ABD TANK & PUMP; REMOVE 1-8K, 2-6K, 2-550                 FINAL  3/25/88",HISTORIC DEPT. OF BUILDINGS,41.70652690177771,-87.68147912785804,POINT (-87.68147912785804 41.70652690177771),33.800951605641636,"10259 South Western Avenue, Chicago, IL 60643, United States of America",41.706564,-87.681075,,10259,South Western Avenue,60643,Chicago,Beverly,Chicago,CO,Cook County,Illinois,IL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
2 W DELAWARE PL,2,2,W,DELAWARE,PL,UNDERGROUND STORAGE TANK,2043961,See Environmental Permit Dataset,CONSTRUCTION SITE,0002,,,GASOLINE,300,,,12/31/1973,"REMOVED 02/21/2008,  Historic data from former Dept. of Environment [ Associated Permit Numbers: 109554     109554; ]",DEPT. OF PUBLIC HEALTH,41.89924864959086,-87.62834656519264,POINT (-87.62834656519264 41.89924864959086),3.5008204908442675,"State & Delaware, North State Street, Chicago, IL 60611, United States of America",41.8992664,-87.6283815,State & Delaware,,North State Street,60611,Magnificent Mile,Near North Side,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2000 N CALIFORNIA AVE,2000,2000,N,CALIFORNIA,AVE,UNDERGROUND STORAGE TANK,2021057,See Environmental Permit Dataset,SHELL OIL SERVICE STATION,0003,,,GASOLINE,8000,,,,"REMOVED 11/08/93,  Historic data from former Dept. of Environment [ Associated Permit Numbers: 100575; ]",DEPT. OF PUBLIC HEALTH,41.91751953844701,-87.69734853884921,POINT (-87.69734853884921 41.91751953844701),24.026424536511556,"PNC Bank, 2000 North California Avenue, Chicago, IL 60647, United States of America",41.917719500000004,-87.69745857071679,PNC Bank,2000,North California Avenue,60647,Palmer Square,Logan Square,Chicago,CO,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
212 S CAMPBELL AVE,212,218,S,CAMPBELL,AVE,UNDERGROUND STORAGE TANK,212CAMP1958-07-02,,CHICAGO HOUSING AUTHORITY,,,,,,07/02/1958,,,WORK BY: S. N. NIELSON; INSTALL 4-30750 GAL. FUEL OIL,HISTORIC DEPT. OF BUILDINGS,41.87797289234596,-87.68892139690125,POINT (-87.68892139690125 41.87797289234596),0,"206 South Campbell Avenue, Chicago, IL 60612, United States of America",41.87797765,-87.68905522548343,,206,South Campbell Avenue,60612,Tri-Taylor,Near West Side,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1025 S WABASH AVE,1025,1025,S,WABASH,AVE,UNDERGROUND STORAGE TANK,1025WAB1947-12-23,,AMERICAN NATIONAL BANK TRUST# 32501,,,,,,12/23/1947,,,WORK BY: KENNEY TANK; INSTALL 1-2K GAL FUEL OIL TANK           FINAL  2/11/48,HISTORIC DEPT. OF BUILDINGS,41.86938403380072,-87.62573146842203,POINT (-87.62573146842203 41.86938403380072),2.2123734875751024,"The Garden, 1019 South Wabash Avenue, Chicago, IL 60605, United States of America",41.869524299999995,-87.62551094034924,The Garden,1019,South Wabash Avenue,60605,Dearborn Park,Loop,Chicago,CO,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
11055 S WESTERN AVE,11055,11057,S,WESTERN,AVE,UNDERGROUND STORAGE TANK,11055WE1970-10-14,,BUTLER-WALKER CORP.,,,,,,10/14/1970,,,WORK BY: ROBERT YOUNG INC.; INSTALL 1-5K GAL GSLN TANK                  FINAL  12/8/70,HISTORIC DEPT. OF BUILDINGS,41.69236151881665,-87.68102643822441,POINT (-87.68102643822441 41.69236151881665),7.188368320317028,"11055 South Western Avenue, Chicago, IL 60643, United States of America",41.692657249999996,-87.68078558149847,,11055,South Western Avenue,60643,,Morgan Park,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1106 W FULLERTON AVE,1106,1106,W,FULLERTON,AVE,UNDERGROUND STORAGE TANK,1106FUL1979-04-09,,AMOCO OIL,,,,,,04/09/1979,,,WORK BY: H. M. BOLES & SONS; GLASS ARMOUR 1-8K GAL GASLN             FINAL  5/17/79,HISTORIC DEPT. OF BUILDINGS,41.92544377898498,-87.656314390191,POINT (-87.656314390191 41.92544377898498),0.6011732483498147,"1106 West Fullerton Avenue, Chicago, IL 60614, United States of America",41.9254988,-87.65638125074312,,1106,West Fullerton Avenue,60614,Wrightwood Neighbors,Lincoln Park,Chicago,CO,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1656 N WESTERN AVE,1656,1656,N,WESTERN,AVE,UNDERGROUND STORAGE TANK,1656NWE,See Environmental Permit Dataset,VACANT FORMER FILLING STATION,0001,,,GASOLINE,1000,,,12/31/1973,"REMOVED 10/01/08,  Historic data from former Dept. of Environment [ Associated Permit Numbers: 109738     109738; ]",DEPT. OF PUBLIC HEALTH,41.91198315966203,-87.68741186253455,POINT (-87.68741186253455 41.91198315966203),5.427057789317142,"Sherwin-Williams, 1654 North Western Avenue, Chicago, IL 60647, United States of America",41.91196295,-87.68757912377254,Sherwin-Williams,1654,North Western Avenue,60647,Chicago,West Town,Chicago,CO,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
12700 S BUTLER DR,12700,12700,S,BUTLER,DR,UNDERGROUND STORAGE TANK,2007578,See Environmental Permit Dataset,GATEWAY ELEVATOR,0001,,,GASOLINE,1000,,,,"12700 S BUTLER DRIVE, REMOVED 10/26/90,  Historic data from former Dept. of Environment [ Stage 2: Y; ]",DEPT. OF PUBLIC HEALTH,41.66406223748854,-87.58526601336158,POINT (-87.58526601336158 41.66406223748854),2.4669870315382187,"12626 South Butler Drive, Chicago, IL 60628, United States of America",41.66407310647439,-87.58524012320268,,12626,South Butler Drive,60628,,South Deering,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
115 E 75TH ST,115,115,E,75TH,ST,UNDERGROUND STORAGE TANK,1.15E+771966-11-01,,BUILDING CORPORATION,,,,,,11/01/1966,,,WORK BY: STANDARD TANK; REMOVE 1-4K GAL GSLN TK                  FINAL  4/18/67,HISTORIC DEPT. OF BUILDINGS,41.75819476134983,-87.62085519163446,POINT (-87.62085519163446 41.75819476134983),0,"109-111 East 75th Street, Chicago, IL 60649, United States of America",41.75812985,-87.620904060295,,109-111,East 75th Street,60649,South Park Manor Historic District,Greater Grand Crossing,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1225 E 44TH PL,1225,1227,E,44TH,PL,UNDERGROUND STORAGE TANK,1.23E+471981-11-13,,CITY OF CHICAGO,,,,,,11/13/1981,,,WORK BY: G. M. WRECKING; REMOVE 1-1K GAL FUEL OIL TANK           FINAL  9/22/82,HISTORIC DEPT. OF BUILDINGS,41.81445714295002,-87.5958224625467,POINT (-87.5958224625467 41.81445714295002),13.807197994364834,"4442 South Oakenwald Avenue, Chicago, IL 60653, United States of America",41.814333,-87.595826,,4442,South Oakenwald Avenue,60653,Chicago,North Kenwood,Chicago,CO,Cook County,Illinois,IL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
1252 N MILWAUKEE AVE,1252,1252,N,MILWAUKEE,AVE,UNDERGROUND STORAGE TANK,1252MIL1947-07-22,,MARY WENC-DRESSWELL SHIRT COMPANY,,,,,,07/22/1947,,,WORK BY: STEELE ESECTOR'S INC; INSPECT - NO OTHER INFORMATION,HISTORIC DEPT. OF BUILDINGS,41.904463944866066,-87.66842936372156,POINT (-87.66842936372156 41.904463944866066),0,"1252 North Milwaukee Avenue, Chicago, IL 60622, United States of America",41.904388499999996,-87.66855143761953,,1252,North Milwaukee Avenue,60622,Pulaski Park,West Town,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1901 W GRAND AVE,1901,1901,W,GRAND,AVE,UNDERGROUND STORAGE TANK,1901GRA1951-11-30,,NORTHWEST AUTO PARTS,,,,,,11/30/1951,,,WORK BY: H. M. BOLES & SONS; INSTALL 1-1K GAL FUEL OIL TANK          FINAL  1/10/51,HISTORIC DEPT. OF BUILDINGS,41.890752983758226,-87.67458422347121,POINT (-87.67458422347121 41.890752983758226),5.870416195812925,"Grand & Wolcott, Chicago, IL 60622, United States of America",41.890792,-87.674632,Grand & Wolcott,,,60622,Chicago,West Town,Chicago,CO,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
11600 S BURLEY AVE,11600,11600,S,BURLEY,AVE,UNDERGROUND STORAGE TANK,2022721,See Environmental Permit Dataset,LTV STEEL COMPANY,0005,,,GASOLINE,3000,,,," ",DEPT. OF PUBLIC HEALTH,41.68355440910715,-87.54521873675726,POINT (-87.54521873675726 41.68355440910715),29.640085391254164,"3237 East 117th Street, Chicago, IL 60617, United States of America",41.683616,-87.545566,,3237,East 117th Street,60617,Chicago,Lake Calumet Industrial District,Chicago,CO,Cook County,Illinois,IL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
190 N STATE ST,190,190,N,STATE,ST,UNDERGROUND STORAGE TANK,2032362,See Environmental Permit Dataset,CAPITAL CITIES,0001,,,?,2000,,,," ",DEPT. OF PUBLIC HEALTH,41.88555516950279,-87.62808272516106,POINT (-87.62808272516106 41.88555516950279),7.292712344858759,"ABC Building, 190 North State Street, Chicago, IL 60601, United States of America",41.88531945,-87.62829711251644,ABC Building,190,North State Street,60601,,Loop,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
10901 S HALSTED ST,10901,10901,S,HALSTED,ST,UNDERGROUND STORAGE TANK,10901HA1976-04-03,,HALSTED TERRACE NURSING HOME,,,,,,04/03/1976,,,WORK BY: H.J.S. CONSTRUCTION; INSTALL 1-285 FINAL 8/31/76,HISTORIC DEPT. OF BUILDINGS,41.69590987673198,-87.64234289902933,POINT (-87.64234289902933 41.69590987673198),4.53924376362407,"Halsted & 109th Street, South Halsted Street, Chicago, IL 60643, United States of America",41.6958694,-87.6423358,Halsted & 109th Street,,South Halsted Street,60643,,Roseland,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1001 W JACKSON BLVD,1001,1001,W,JACKSON,BLVD,UNDERGROUND STORAGE TANK,2021015,See Environmental Permit Dataset,SHELL SERVICE STATION/,0001,FRP,SINGLE,GASOLINE-,10000,,,,"IN COMPLIANCE,  Historic data from former Dept. of Environment [ Tank Leak Protection: Automatic Tank Gauging; Tank Spill Prevention: Spill Containment Manhole; Tank Corrosion Protection: FRP; Tank Overfill Protection: Drop Tube Valve; Piping Type: Pressurized Piping; Piping Leak Protection: Line Leak Detector; Piping Corrosion Protection: FRP; Piping Wall: Single; Pipe Material: FRP; Stage 2: Y; Red Tag: N; Associated Permit Numbers: 109401   107914 109401; ]",DEPT. OF PUBLIC HEALTH,41.87775720375397,-87.65203741759878,POINT (-87.65203741759878 41.87775720375397),33.583588271342386,"Shell, 1001 West Jackson Boulevard, Chicago, IL 60607, United States of America",41.877527,-87.6523,Shell,1001,West Jackson Boulevard,60607,Chicago,Near West Side,Chicago,CO,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
12200 S STONY ISLAND AVE,12200,12200,S,STONY ISLAND,AVE,UNDERGROUND STORAGE TANK,12200ST1968-01-29,,BULK TERMINALS,,,,,,01/29/1968,,,WORK BY: INTERNATIONAL GREAT LAKES; INSTALL 2-500G FUEL OIL,HISTORIC DEPT. OF BUILDINGS,41.67326684598578,-87.57549200322636,POINT (-87.57549200322636 41.67326684598578),19.281594708423633,"Park 600 ""Deadstick Pond Natural Area"", 12701 South Stony Island Avenue, Chicago, IL 60633, United States of America",41.66838595,-87.57427519034079,"Park 600 ""Deadstick Pond Natural Area""",12701,South Stony Island Avenue,60633,,South Deering,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1401 W 59TH ST,1401,1401,W,59TH,ST,UNDERGROUND STORAGE TANK,1401W591961-05-03,,SINCLAIR REFINING COMPANY,,,,,,05/03/1961,,,"WORK BY: STANDARD TANKS; INSPECT 2-2K GASLN, REMOVE 4-1K         FINAL  6/2/61",HISTORIC DEPT. OF BUILDINGS,41.786706391571,-87.65960077426581,POINT (-87.65960077426581 41.786706391571),21.036934837740194,"1357 West 59th Street, Chicago, IL 60636, United States of America",41.786649,-87.659359,,1357,West 59th Street,60636,Chicago,Englewood,Chicago,CO,Cook County,Illinois,IL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
1254 S WESTERN AVE,1254,1254,S,WESTERN,AVE,UNDERGROUND STORAGE TANK,1254WES1947-01-03,,WHOLESALE OIL,,,,,,01/03/1947,,,WORK BY: H. M. BOLES & SONS; REPLACE 1-2K GAS,HISTORIC DEPT. OF BUILDINGS,41.86482064974837,-87.68613658654903,POINT (-87.68613658654903 41.86482064974837),19.782074232581497,"2400 West Ogden Avenue, Chicago, IL 60612, United States of America",41.86505305,-87.68644000548932,,2400,West Ogden Avenue,60612,Claremont Cottages Historic District,Near West Side,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1924 N PAULINA ST,1924,1924,N,PAULINA,ST,UNDERGROUND STORAGE TANK,1924PAU1956-04-30,,ZOLLIE FRANK,,,,,,04/30/1956,,,WORK BY: WELSE CONSTRUCTION; INSTALL 1-3K F.O.,HISTORIC DEPT. OF BUILDINGS,41.91682603027183,-87.67045088452277,POINT (-87.67045088452277 41.91682603027183),0,"Howard Orloff - Volvo, Jaguar, Land Rover, 1924 North Paulina Street, Chicago, IL 60622, United States of America",41.91691765,-87.67091389122268,"Howard Orloff - Volvo, Jaguar, Land Rover",1924,North Paulina Street,60622,Bucktown,Logan Square,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2020 S DESPLAINES ST,2020,2020,S,DESPLAINES,ST,UNDERGROUND STORAGE TANK,2011800,See Environmental Permit Dataset,"INDUSTRIAL COATINGS GROUP, INC",0001,,,,60000,,,,"REMOVED 12/20/95,  Historic data from former Dept. of Environment [ Associated Permit Numbers: 102117; ]",DEPT. OF PUBLIC HEALTH,41.854900329973006,-87.64289912055179,POINT (-87.64289912055179 41.854900329973006),0.25039071878892105,"2016 South Desplaines Street, Chicago, IL 60616, United States of America",41.8548528,-87.64293678195364,,2016,South Desplaines Street,60616,East Pilsen,Lower West Side,Chicago,CO,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
111 N CANAL ST,111,111,N,CANAL,ST,UNDERGROUND STORAGE TANK,11CANAL1988-07-07,,ALBERT FRANK & ASSOCIATION,,,,,,07/07/1988,,,WORK BY: GREGG BUILDERS; INSTALL 1-500 DIESEL OIL ABOVEGROUND FINAL 3/31/89,HISTORIC DEPT. OF BUILDINGS,41.88356531275924,-87.63963728368087,POINT (-87.63963728368087 41.88356531275924),0,"River Center, 111 North Canal Street, Chicago, IL 60606, United States of America",41.88406635,-87.6393772518964,River Center,111,North Canal Street,60606,West Loop Gate,Near West Side,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
201 E NORTH WATER ST,201,211,E,NORTH WATER,ST,UNDERGROUND STORAGE TANK,201NORT1985-04-21,,EQUITABLE LIFE ASSOCIATION,,,,,,04/21/1985,,,WORK BY: U S DISMANTLEMENT CORP; REMOVE 2-(5K) FUEL OIL,HISTORIC DEPT. OF BUILDINGS,,,,,,,,,,,,,,,,,,,,,,,
10 S RIVERSIDE PLZ,10,10,S,RIVERSIDE,PLZ,UNDERGROUND STORAGE TANK,2038528,See Environmental Permit Dataset,UNION STATION GATEWAY 1,0001,,,HEATING OI,10000,,,04/01/1984,"10 S RIVERSIDE PLAZA, ABANDONED 07/20/99,  Historic data from former Dept. of Environment [ Associated Permit Numbers: 104899; ]",DEPT. OF PUBLIC HEALTH,41.881664289382925,-87.63888744408949,POINT (-87.63888744408949 41.881664289382925),5.708374762486679,"10 South Riverside Plaza, Chicago, IL 60606, United States of America",41.881208799999996,-87.63912809944904,10 South Riverside Plaza,10,South Riverside Plaza,60606,West Loop Gate,Near West Side,Chicago,CO,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
111 E 89TH PL,111,111,E,89TH,PL,UNDERGROUND STORAGE TANK,111E89P1991-05-01,,A J CANFIELD COM,,,,,,05/01/1991,,,WORK BY: AINLAY ENVIROTECH; INSTALL 1-10K DOTK,HISTORIC DEPT. OF BUILDINGS,41.731727173768164,-87.620202695521,POINT (-87.620202695521 41.731727173768164),3.733100354927526,"109 East 89th Place, Chicago, IL 60619, United States of America",41.73162065,-87.6202293939394,,109,East 89th Place,60619,Garden Homes,Chatham,Chicago,CO,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1813 W FULTON ST,1813,1813,W,FULTON,ST,UNDERGROUND STORAGE TANK,2041893,See Environmental Permit Dataset,J.L. SCHEFFLER,0001,,,HEATING OI,1000,,,12/31/1974,"REMOVED 9/16/03,  Historic data from former Dept. of Environment [ Associated Permit Numbers: 107588     107588; ]",DEPT. OF PUBLIC HEALTH,41.886730728793005,-87.67247554409313,POINT (-87.67247554409313 41.886730728793005),0,"1801-1821 West Fulton Street, Chicago, IL 60612, United States of America",41.88657445,-87.6726551705429,,1801-1821,West Fulton Street,60612,,Near West Side,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1146 W HUBBARD ST,1146,1146,W,HUBBARD,ST,UNDERGROUND STORAGE TANK,2035748,See Environmental Permit Dataset,"ACORN GARAGE, INC.",0001,,,GASOLINE,1500,,,,"1146 W HUBBARD, REMOVED 02/05/99,  Historic data from former Dept. of Environment [ Associated Permit Numbers: 104416; ]",DEPT. OF PUBLIC HEALTH,41.89010864896286,-87.65643683915526,POINT (-87.65643683915526 41.89010864896286),24.05420379614102,"1146 West Hubbard Street, Chicago, IL 60642, United States of America",41.890323,-87.656476,,1146,West Hubbard Street,60642,Chicago,West Town,Chicago,CO,Cook County,Illinois,IL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
1100 N CICERO AVE,1100,1100,N,CICERO,AVE,UNDERGROUND STORAGE TANK,2020154,See Environmental Permit Dataset,"FLEX-O-GLASS, INC.",0010,,,PARRAFIN W,"2,000",,06/12/2012,," ",DEPT. OF PUBLIC HEALTH,41.90056042148215,-87.74607735924823,POINT (-87.74607735924823 41.90056042148215),5.132376550182756,"1100-1124 North Cicero Avenue, Chicago, IL 60651, United States of America",41.9009356,-87.74626062344726,,1100-1124,North Cicero Avenue,60651,,Austin,Chicago,,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1301 W DIVERSEY AVE,1301,1301,W,DIVERSEY,AVE,UNDERGROUND STORAGE TANK,1301DIV1983-03-07,,CONTINENTAL BANK,,,,,,03/07/1983,,,"WORK BY: NATIONAL WRECKING; REMOVE 1-6K & 1-8K GASLN, 1-10K, 2-5K, 1-2K D.O. FIN 3/5/86",HISTORIC DEPT. OF BUILDINGS,41.93240736319304,-87.66118692104553,POINT (-87.66118692104553 41.93240736319304),14.095666228679189,"1301 West Diversey Parkway, Chicago, IL 60657, United States of America",41.9323398,-87.6613311,,1301,West Diversey Parkway,60657,Chicago,Lake View Township,Chicago,CO,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
225 N WABASH AVE,225,,N,WABASH,AVE,ABOVEGROUND STORAGE TANK,225NWABASH,HOTEL MONACO,HOTEL MONACO,,,DOUBE WALL STEEL,# 2 DIESEL,NO. OF TANKS: 1 (109 GALLON),,,,"DATE OF REPORT: 05/19/2003 ",HISTORIC DEPT.OF ENVIRONMENT,41.88642433256405,-87.62616828170881,POINT (-87.62616828170881 41.88642433256405),3.2470436855380957,"Hotel Monaco, 225 North Wabash Avenue, Chicago, IL 60601, United States of America",41.8864913,-87.62600666702002,Hotel Monaco,225,North Wabash Avenue,60601,Chicago,Loop,Chicago,CO,Cook County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
